,Brand,Model,Processor,RAM_GB,Storage_GB,Screen_Size_Inches,Price_USD,Operating_System,Weight_KG,Release_Year
1932,Microsoft,6467,AMD Ryzen 5,64,256,16.7,1497,Windows 11,0.92,2021
1934,Lenovo,8509,Intel i7,16,512,14.3,1622,Windows 11,2.94,2021
1935,HP,851,Intel i5,64,512,17.4,910,Linux,1.52,2020
1937,Asus,4630,AMD Ryzen 7,16,2048,16.4,1318,Windows 11,1.56,2018
1939,Dell,4585,AMD Ryzen 5,32,256,15.0,1311,Linux,1.58,2023
1940,Acer,2125,Intel i5,8,1024,14.6,1518,Linux,1.56,2020
1942,Lenovo,9983,Intel i5,32,512,16.3,1002,Windows 10,1.41,2019
1943,HP,9779,Intel i5,64,256,16.9,1050,Linux,1.22,2021
1944,Dell,935,Intel i9,16,512,17.6,674,Windows 10,2.22,2020
1945,Microsoft,1344,Intel i5,32,512,15.6,1253,Linux,1.6,2018
1946,Acer,1303,AMD Ryzen 5,8,1024,14.9,1148,Windows 10,1.11,2022
1949,Asus,2159,Intel i7,8,256,17.5,925,Windows 11,1.56,2023
1951,Dell,8441,Intel i5,8,256,14.1,1005,Windows 11,2.22,2023
1953,Lenovo,151,AMD Ryzen 7,16,256,16.2,1657,Linux,1.75,2019
1959,Microsoft,9155,AMD Ryzen 5,8,2048,14.1,1579,Linux,1.62,2023
1960,Acer,2277,AMD Ryzen 7,16,2048,17.6,1353,Windows 10,1.05,2023
1962,Dell,4864,Intel i9,32,256,14.0,447,Windows 10,1.42,2022
1967,Lenovo,9614,AMD Ryzen 5,16,256,15.0,775,Windows 10,2.11,2020
1969,Razer,6434,Intel i7,16,1024,17.1,996,Windows 10,1.63,2021
1972,Dell,4096,Intel i9,16,256,15.5,1394,Windows 11,1.76,2023
1974,HP,9313,Intel i9,64,2048,15.4,1385,Windows 11,1.89,2023
1975,Microsoft,4351,Intel i7,16,2048,14.0,769,Linux,1.73,2023
1979,Asus,653,Intel i9,8,2048,14.7,1028,Linux,1.12,2019
1981,Dell,9903,AMD Ryzen 5,16,256,16.4,322,Linux,0.86,2021
1983,Microsoft,4248,AMD Ryzen 7,16,256,17.4,948,Linux,2.27,2022
1984,Microsoft,9275,Intel i7,8,1024,13.7,488,Linux,2.49,2023
1986,Microsoft,5147,AMD Ryzen 5,32,256,14.7,836,Windows 10,2.06,2022
1988,Microsoft,6635,AMD Ryzen 7,8,2048,16.3,965,Windows 11,1.75,2018
1989,Microsoft,7669,Intel i9,8,1024,17.7,959,Linux,1.57,2020
1991,Razer,393,Intel i7,8,512,16.8,925,Windows 11,1.09,2023
1992,Razer,4549,Intel i5,16,256,16.2,1324,Linux,1.49,2022
1997,HP,988,Intel i5,32,1024,15.1,707,Windows 10,1.05,2021
1998,Microsoft,168,Intel i7,16,1024,16.7,1232,Linux,2.02,2020
1999,HP,7393,Intel i5,16,1024,15.0,1259,Windows 11,1.46,2024
2000,Razer,4739,Intel i7,16,512,15.8,1139,Windows 10,2.27,2023
2004,HP,2212,AMD Ryzen 5,32,256,15.7,1448,Windows 10,2.8,2019
2006,Asus,2665,Intel i7,64,256,14.9,1064,Windows 10,1.57,2019
2010,Asus,7723,Intel i5,32,2048,15.6,1140,Linux,1.91,2020
2011,Dell,7645,Intel i7,64,512,17.4,1566,Linux,2.45,2024
2012,Acer,9538,Intel i7,64,1024,14.3,515,Linux,1.74,2019
2013,Lenovo,1310,Intel i7,64,2048,16.4,889,Linux,2.61,2019
2015,Dell,3302,Intel i7,8,1024,18.3,1570,Linux,1.9,2019
2017,Acer,8651,Intel i7,8,256,14.8,1502,Windows 10,1.65,2022
2018,Razer,1317,AMD Ryzen 5,16,512,15.6,1496,Windows 10,1.79,2020
2020,HP,8052,AMD Ryzen 5,16,256,14.2,699,Linux,2.32,2019
2021,HP,5615,AMD Ryzen 5,64,512,15.8,1051,Linux,1.44,2018
2023,Dell,6074,AMD Ryzen 7,16,512,16.9,1566,Linux,2.58,2019
2025,Asus,6508,AMD Ryzen 5,8,2048,13.1,1254,Windows 11,2.39,2023
2026,Lenovo,3382,Intel i9,16,512,17.8,1159,Linux,1.62,2020
2028,Razer,4238,Intel i7,64,512,15.4,1133,Windows 10,2.12,2019
2030,Microsoft,5836,Intel i9,64,1024,16.2,1550,Windows 11,1.68,2023
2035,Acer,7104,AMD Ryzen 7,32,2048,14.9,1449,Windows 11,1.21,2023
2036,Razer,1765,AMD Ryzen 7,64,1024,13.9,677,Windows 10,1.81,2022
2037,Acer,9547,AMD Ryzen 5,32,512,13.4,1506,Windows 11,1.62,2018
2039,Lenovo,147,Intel i7,8,256,16.1,1177,Windows 11,1.51,2020
2041,HP,3069,Intel i9,8,256,16.1,1853,Windows 10,1.77,2023
2042,HP,4649,Intel i9,32,2048,14.5,1609,Linux,1.61,2021
2046,Dell,643,Intel i5,16,1024,16.8,1328,Linux,1.27,2019
2048,Lenovo,1972,AMD Ryzen 5,16,1024,15.7,2170,Windows 11,1.53,2022
2050,Microsoft,8111,Intel i7,8,512,17.3,781,Windows 11,1.57,2023
2052,HP,9782,Intel i7,16,256,15.8,1058,Linux,1.79,2024
2053,HP,7036,Intel i7,8,1024,12.5,441,Windows 10,1.95,2023
2055,Lenovo,4888,Intel i9,16,1024,15.9,1021,Linux,2.84,2024
2059,Dell,5454,Intel i7,16,2048,15.9,1605,Linux,0.7,2021
2061,Dell,1932,Intel i5,8,512,17.6,1144,Linux,2.08,2023
2062,Acer,4411,AMD Ryzen 7,32,512,15.4,766,Windows 10,2.47,2022
2064,Lenovo,3174,Intel i7,8,512,15.7,1442,Windows 10,2.18,2021
2066,Microsoft,2362,AMD Ryzen 7,8,256,15.1,1226,Windows 10,2.05,2021
2070,Acer,3791,Intel i5,8,2048,14.6,866,Windows 10,1.07,2023
2071,Lenovo,4315,AMD Ryzen 7,32,2048,17.4,1011,Windows 10,1.3,2019
2072,Dell,7348,AMD Ryzen 7,16,1024,15.6,580,Windows 11,2.02,2020
2075,Dell,8163,Intel i7,8,2048,13.8,815,Windows 10,2.24,2024
2077,Acer,5800,Intel i7,8,2048,17.2,657,Windows 10,1.7,2020
2079,Lenovo,4115,AMD Ryzen 7,64,1024,17.4,840,Windows 11,1.67,2024
2080,Razer,2409,AMD Ryzen 7,64,1024,17.4,1276,Linux,1.01,2023
2083,HP,2628,Intel i7,16,2048,12.4,1234,Windows 11,2.07,2024
2087,Asus,2526,Intel i5,32,256,16.4,1681,Linux,1.82,2019
2089,Acer,6399,AMD Ryzen 5,16,1024,18.4,1158,Windows 11,3.03,2024
2091,Lenovo,2236,Intel i5,16,512,15.0,1460,Windows 11,1.61,2018
2095,Microsoft,8862,Intel i7,16,1024,16.1,1030,Windows 11,1.33,2024
2096,Dell,1687,Intel i7,64,2048,13.6,556,Windows 10,1.99,2019
2100,Razer,6612,Intel i5,64,1024,15.5,1191,Windows 10,1.23,2018
2102,HP,4270,AMD Ryzen 7,64,256,17.6,890,Windows 11,2.26,2018
2104,Asus,1825,AMD Ryzen 7,64,512,14.4,482,Windows 10,1.49,2019
2106,Lenovo,832,Intel i9,8,1024,17.2,1322,Windows 11,1.75,2020
2109,Asus,4105,AMD Ryzen 5,32,2048,17.3,933,Windows 11,0.91,2018
2112,Dell,6080,Intel i9,64,256,15.0,1189,Linux,1.74,2019
2113,Microsoft,7119,Intel i5,32,2048,16.2,1250,Windows 10,1.16,2021
2115,HP,6705,Intel i9,32,2048,15.8,939,Windows 11,1.71,2022
2117,Razer,6641,Intel i5,64,2048,13.6,1617,Linux,1.34,2019
2118,Asus,1610,Intel i5,64,1024,16.0,920,Linux,2.32,2020
2120,Microsoft,2433,Intel i5,16,512,13.6,1571,Windows 11,2.26,2019
2124,Dell,2016,AMD Ryzen 7,32,1024,15.5,966,Windows 11,1.79,2021
2128,Razer,3634,Intel i5,16,256,15.0,1321,Linux,1.77,2019
2130,Razer,7112,Intel i5,16,1024,14.8,1250,Windows 11,2.15,2021
2131,Acer,3856,AMD Ryzen 7,16,2048,14.9,1029,Linux,1.83,2018
2133,Lenovo,2851,AMD Ryzen 5,16,1024,16.1,490,Windows 11,0.92,2024
2134,Razer,2004,Intel i5,8,1024,18.8,1053,Windows 10,2.16,2018
2136,Acer,9276,AMD Ryzen 7,16,256,14.4,430,Windows 11,1.77,2020
2141,Razer,2566,Intel i5,8,256,17.6,725,Linux,1.6,2018
2144,Razer,7277,AMD Ryzen 5,32,1024,15.7,1587,Windows 10,2.38,2024
2145,Razer,6546,AMD Ryzen 5,8,256,14.3,1446,Linux,1.45,2021
2147,Asus,5676,Intel i9,32,2048,14.3,712,Windows 11,1.92,2019
2153,Asus,7675,Intel i5,64,2048,15.5,843,Windows 11,1.74,2023
2154,HP,7971,Intel i9,64,256,15.5,1031,Windows 11,1.91,2021
2158,Lenovo,4837,AMD Ryzen 7,8,2048,14.7,1138,Linux,1.31,2021
2161,Asus,9963,Intel i5,8,1024,13.9,1488,Windows 10,1.98,2020
2163,Acer,614,Intel i5,16,2048,15.7,1096,Windows 11,1.34,2020
2169,Dell,5226,Intel i9,32,256,16.4,1678,Linux,1.79,2021
2170,Microsoft,7705,AMD Ryzen 7,32,2048,15.6,1087,Linux,1.2,2021
2171,Microsoft,4059,AMD Ryzen 5,8,2048,16.3,1442,Windows 11,1.88,2023
2172,Microsoft,5651,Intel i7,32,256,17.2,799,Linux,1.91,2021
2179,Asus,2130,Intel i9,64,256,13.8,1233,Windows 11,1.92,2019
2184,Apple,8822,Apple M1,64,2048,13.1,783,macOS,1.39,2022
2194,Dell,6558,AMD Ryzen 5,8,1024,16.7,1138,Linux,3.16,2019
2195,Lenovo,1480,Intel i5,16,512,15.1,1531,Linux,2.0,2024
2197,Dell,7508,AMD Ryzen 7,8,256,17.9,790,Windows 11,1.49,2021
2198,Microsoft,563,AMD Ryzen 7,8,512,14.8,1131,Windows 10,2.58,2018
2202,Acer,6878,AMD Ryzen 5,32,256,15.0,1906,Windows 10,1.51,2024
2203,HP,3964,Intel i7,8,1024,15.5,1330,Linux,1.76,2018
2204,Lenovo,6830,Intel i9,16,512,16.9,910,Linux,1.12,2023
2208,Razer,5904,Intel i9,64,1024,17.9,1394,Linux,1.78,2018
2210,HP,5048,Intel i5,32,2048,14.2,1786,Windows 11,2.63,2023
2212,Lenovo,2821,AMD Ryzen 5,64,512,15.3,618,Windows 11,2.64,2024
2214,Microsoft,3395,Intel i7,64,1024,16.4,433,Windows 10,1.12,2023
2215,Dell,132,Intel i5,32,2048,15.5,1181,Windows 10,2.47,2020
2218,Dell,6170,AMD Ryzen 5,64,1024,15.9,1294,Windows 10,1.73,2022
2219,Acer,7838,Intel i5,8,256,15.4,1366,Linux,1.02,2021
2220,Microsoft,114,AMD Ryzen 5,64,256,14.9,1617,Linux,0.55,2022
2221,HP,9418,Intel i9,16,512,15.6,1679,Windows 11,0.86,2021
2222,Acer,8565,Intel i7,64,2048,14.3,1487,Windows 10,2.22,2019
2223,Lenovo,4125,Intel i7,32,2048,13.6,1042,Windows 10,1.87,2021
2224,Microsoft,2592,Intel i9,8,1024,14.4,1142,Windows 11,1.46,2021
2228,Acer,4898,AMD Ryzen 7,16,512,12.2,1208,Windows 11,1.94,2024
2229,Lenovo,6200,Intel i7,8,512,16.2,978,Windows 10,1.65,2022
2230,HP,7514,Intel i9,16,1024,15.7,1072,Linux,1.23,2020
2231,HP,2856,Intel i7,32,256,15.1,931,Linux,2.15,2022
2233,Lenovo,5626,AMD Ryzen 7,8,512,13.6,1001,Windows 10,1.94,2022
2235,Razer,2565,Intel i9,8,1024,16.0,1502,Windows 10,2.17,2022
2238,Asus,6420,AMD Ryzen 7,8,1024,15.8,1268,Windows 11,1.83,2024
2240,Asus,7732,Intel i5,64,2048,16.0,765,Linux,1.99,2018
2243,Microsoft,3632,AMD Ryzen 5,32,512,14.9,2081,Windows 11,2.4,2024
2245,Razer,1632,Intel i5,8,2048,14.8,639,Windows 11,1.16,2024
2246,Dell,3708,Intel i5,32,256,16.1,860,Windows 11,1.68,2018
2248,Lenovo,5940,Intel i9,8,512,18.3,1148,Windows 10,1.45,2022
2250,Microsoft,6523,AMD Ryzen 5,8,256,13.6,1316,Windows 10,1.05,2020
2251,Microsoft,2336,Intel i9,32,2048,15.5,1505,Windows 10,1.76,2019
2252,Razer,1112,Intel i7,32,256,18.6,901,Windows 11,1.21,2021
2253,Lenovo,3058,AMD Ryzen 5,64,256,13.7,1265,Windows 11,1.55,2020
2255,Lenovo,8612,Intel i9,32,1024,10.9,1290,Windows 10,1.7,2022
2263,Dell,351,Intel i5,64,512,13.7,780,Linux,1.76,2020
2265,Microsoft,8776,Intel i5,16,256,15.9,1325,Windows 11,2.49,2023
2266,Asus,6068,Intel i5,8,2048,13.3,1051,Windows 10,1.19,2018
2270,Asus,501,Intel i7,32,512,15.6,997,Windows 11,1.7,2018
2271,Lenovo,52,Intel i7,16,512,16.5,640,Linux,2.24,2020
2272,Microsoft,8323,Intel i9,8,1024,15.0,971,Windows 10,2.3,2018
2273,HP,3298,Intel i5,32,256,16.4,1124,Windows 10,1.42,2020
2274,Dell,6481,Intel i9,16,1024,15.6,1059,Linux,2.14,2018
2275,Microsoft,7879,Intel i9,64,256,13.9,969,Windows 11,2.69,2024
2277,Asus,6088,Intel i9,16,1024,17.1,974,Linux,1.52,2022
2278,Dell,8444,Intel i5,8,2048,14.3,831,Linux,1.79,2024
2279,Acer,627,Intel i5,64,2048,16.2,1438,Windows 10,1.99,2020
2281,Acer,4297,AMD Ryzen 7,32,2048,14.8,992,Windows 11,1.25,2018
2288,Lenovo,5976,Intel i7,32,256,17.3,1060,Linux,2.01,2021
2291,Asus,4071,AMD Ryzen 7,8,256,15.3,1510,Windows 10,1.67,2020
2293,Microsoft,2108,Intel i9,16,2048,15.9,1806,Windows 10,1.69,2018
2295,Microsoft,696,AMD Ryzen 7,16,512,19.4,1404,Windows 10,1.81,2020
2297,Asus,9898,Intel i5,8,512,14.6,1093,Linux,1.81,2020
2300,HP,8159,Intel i9,16,256,15.4,712,Windows 11,1.19,2020
2304,HP,5457,Intel i7,32,256,16.3,1345,Windows 11,1.12,2018
2305,Razer,4555,AMD Ryzen 7,8,2048,17.4,1628,Windows 11,1.42,2018
2310,Dell,358,AMD Ryzen 5,64,1024,14.4,377,Windows 10,1.44,2024
2321,Razer,4782,Intel i7,32,512,13.6,1205,Linux,0.83,2024
2323,Dell,5209,AMD Ryzen 5,64,256,15.0,2083,Linux,2.37,2024
2327,Microsoft,6336,AMD Ryzen 7,32,512,17.4,955,Linux,2.57,2022
2333,Asus,646,Intel i5,8,2048,15.2,1788,Windows 11,1.73,2018
2337,Acer,2930,Intel i9,16,2048,14.0,1451,Windows 11,1.7,2019
2340,Acer,3093,Intel i5,64,2048,14.3,1224,Linux,1.74,2022
2341,Apple,5738,Apple M1,8,1024,15.2,1441,macOS,2.34,2022
2342,HP,6168,Intel i9,16,512,15.9,1799,Linux,1.31,2020
2348,Razer,7311,Intel i7,32,1024,12.9,1562,Windows 11,2.53,2018
2353,Acer,7674,Intel i7,32,512,16.8,1839,Windows 11,2.02,2020
2354,Apple,2593,Apple M1,8,256,16.9,915,macOS,1.68,2022
2357,Asus,649,AMD Ryzen 5,8,1024,14.8,1130,Linux,0.75,2018
2358,Dell,3179,AMD Ryzen 7,8,2048,14.9,1033,Windows 11,1.67,2020
2360,Apple,3034,Apple M1,32,2048,16.9,1347,macOS,2.09,2023
2361,Acer,49,Intel i7,8,1024,13.8,986,Windows 10,2.51,2019
2362,Asus,3299,Intel i5,8,2048,15.9,1371,Windows 11,2.34,2018
2363,Asus,3882,Intel i9,8,1024,14.1,909,Windows 10,1.61,2023
2364,Razer,4211,Intel i7,64,512,17.1,1128,Windows 11,2.09,2021
2365,Lenovo,439,Intel i5,8,2048,16.0,685,Linux,1.36,2023
2371,Razer,3547,AMD Ryzen 5,64,2048,14.4,853,Windows 11,1.82,2018
2374,Asus,1007,Intel i7,64,1024,16.7,1162,Windows 10,1.27,2019
2378,HP,659,AMD Ryzen 7,32,512,15.8,1045,Windows 10,1.03,2019
2379,Razer,508,Intel i5,32,1024,13.7,952,Windows 11,1.46,2021
2381,Lenovo,1784,AMD Ryzen 5,64,256,15.5,1203,Windows 11,1.49,2022
2384,Acer,3880,AMD Ryzen 7,32,256,17.0,1914,Linux,2.77,2022
2386,Dell,7415,Intel i9,16,1024,16.5,1067,Windows 10,1.52,2018
2388,Acer,6744,Intel i9,8,2048,16.4,1286,Linux,2.08,2020
2391,HP,9118,AMD Ryzen 5,64,512,14.5,852,Linux,2.43,2023
2392,Microsoft,5395,AMD Ryzen 5,32,256,18.0,1224,Windows 11,1.78,2024
2395,Razer,4306,Intel i7,32,256,17.5,1475,Windows 10,2.16,2021
2399,Acer,3317,AMD Ryzen 5,16,256,17.7,689,Linux,1.91,2023
2400,Dell,8499,AMD Ryzen 7,32,256,17.5,1505,Linux,1.86,2024
2401,HP,8695,AMD Ryzen 5,16,256,15.4,1664,Windows 10,2.26,2022
2403,Razer,5574,AMD Ryzen 7,32,2048,14.8,1136,Windows 11,1.45,2018
2404,Acer,4559,AMD Ryzen 5,32,2048,15.6,1793,Windows 11,1.77,2018
2408,Asus,9821,Intel i5,16,1024,12.0,786,Windows 11,2.11,2022
2409,Microsoft,9767,Intel i9,8,1024,14.5,1262,Windows 10,2.29,2023
2410,Acer,319,Intel i9,64,256,15.0,1406,Windows 11,1.89,2021
2412,HP,7633,AMD Ryzen 5,32,256,16.6,2000,Windows 10,1.36,2018
2413,Microsoft,4344,Intel i5,64,512,18.7,1742,Windows 11,1.2,2022
2417,Microsoft,9103,AMD Ryzen 7,8,256,15.1,1461,Windows 11,1.92,2018
2418,HP,5198,Intel i5,32,256,17.0,1164,Windows 10,1.89,2024
2419,Asus,1470,Intel i7,8,512,17.4,1045,Windows 10,0.68,2023
2421,Acer,8438,Intel i5,64,512,17.9,1700,Windows 10,1.11,2024
2423,Dell,1627,AMD Ryzen 5,64,1024,17.6,1351,Windows 10,2.81,2018
2427,Lenovo,2352,AMD Ryzen 7,32,256,17.5,1515,Windows 11,2.02,2023
2428,HP,3363,AMD Ryzen 7,8,1024,13.8,1925,Windows 11,1.5,2022
2429,Lenovo,6562,Intel i7,8,1024,17.4,984,Windows 10,2.01,2018
2431,Asus,6650,AMD Ryzen 7,32,2048,14.7,1532,Windows 10,2.05,2024
2433,Asus,8319,AMD Ryzen 5,8,2048,14.3,742,Windows 11,1.88,2023
2435,Lenovo,7480,AMD Ryzen 5,32,256,14.2,1530,Windows 11,1.07,2018
2436,Lenovo,4685,Intel i7,8,1024,16.0,1262,Linux,2.06,2023
2441,Dell,5717,Intel i9,32,1024,15.0,884,Linux,2.69,2018
2442,Lenovo,8087,Intel i5,16,2048,15.7,739,Windows 10,2.68,2020
2443,Acer,968,Intel i5,8,256,13.8,932,Windows 11,1.81,2022
2444,Microsoft,7170,AMD Ryzen 7,64,256,13.0,1343,Windows 10,1.76,2022
2445,Lenovo,7899,AMD Ryzen 7,64,512,15.4,1132,Windows 10,2.0,2024
2447,Acer,867,AMD Ryzen 5,16,512,17.7,1763,Linux,1.31,2022
2453,Acer,6276,Intel i5,8,256,16.8,1133,Windows 11,1.49,2021
2460,Lenovo,4921,AMD Ryzen 7,32,512,17.1,896,Linux,2.01,2022
2466,Asus,2691,Intel i7,8,1024,17.9,1478,Linux,1.82,2021
2467,Razer,5445,AMD Ryzen 5,8,1024,14.4,1339,Linux,1.38,2023
2469,Lenovo,7436,AMD Ryzen 5,32,1024,14.0,1219,Windows 11,1.75,2018
2473,Asus,9771,AMD Ryzen 5,8,1024,17.3,1488,Linux,2.0,2021
2474,Asus,5282,Intel i5,32,2048,14.0,1294,Windows 11,1.05,2022
2477,HP,2998,Intel i5,32,1024,16.0,1932,Windows 10,2.44,2019
2480,Asus,7612,AMD Ryzen 5,32,256,14.9,365,Windows 11,1.17,2022
2482,Dell,834,AMD Ryzen 7,8,2048,17.6,1056,Windows 10,2.15,2022
2484,Dell,8547,Intel i9,64,512,17.1,1133,Linux,1.93,2024
2485,Razer,8452,Intel i7,32,256,15.8,639,Linux,1.98,2019
2487,Lenovo,4328,AMD Ryzen 5,8,1024,14.3,1064,Linux,1.41,2018
2489,Acer,4869,Intel i5,32,256,16.6,1468,Windows 10,1.22,2024
2491,Asus,4045,AMD Ryzen 5,8,256,16.3,1068,Windows 10,2.31,2023
2493,Razer,6942,AMD Ryzen 7,8,1024,16.2,918,Linux,2.17,2022
2494,Microsoft,1281,AMD Ryzen 7,32,1024,15.8,1215,Windows 10,2.05,2020
2495,Razer,2652,AMD Ryzen 5,64,256,16.5,1125,Windows 11,1.05,2024
2496,Razer,2610,AMD Ryzen 7,64,256,14.9,1031,Linux,1.75,2020
2497,Dell,9725,AMD Ryzen 5,32,2048,19.8,958,Linux,1.62,2021
2500,Asus,4146,AMD Ryzen 7,64,256,17.1,1351,Linux,2.16,2021
2505,Lenovo,3324,AMD Ryzen 5,64,256,15.1,1242,Windows 10,2.96,2022
2506,Razer,7743,Intel i9,32,2048,15.6,1024,Windows 10,1.87,2022
2507,Dell,2882,Intel i9,16,1024,16.8,1118,Windows 10,1.01,2024
2510,Razer,4486,AMD Ryzen 5,32,1024,14.5,1521,Windows 11,2.09,2024
2511,Acer,1000,Intel i9,16,256,15.7,1005,Linux,1.61,2020
2512,Asus,9928,Intel i7,16,1024,16.4,1280,Windows 10,2.01,2018
2513,Asus,2455,AMD Ryzen 7,16,2048,14.4,1424,Windows 11,1.15,2020
2517,Acer,9530,AMD Ryzen 7,16,1024,16.1,1230,Windows 10,1.68,2021
2519,Lenovo,526,Intel i5,16,1024,15.6,1017,Windows 11,1.23,2018
2520,Microsoft,5903,Intel i9,32,512,15.7,1699,Linux,1.88,2022
2523,Acer,4670,Intel i9,32,256,15.3,1542,Windows 10,1.67,2023
2524,Dell,8484,AMD Ryzen 5,32,512,15.9,802,Windows 11,2.12,2019
2525,Acer,9513,AMD Ryzen 5,64,512,16.3,738,Linux,1.59,2018
2527,Razer,258,Intel i7,64,512,14.9,1945,Linux,2.22,2023
2541,HP,2214,Intel i9,32,512,17.4,1454,Windows 10,1.58,2022
2545,Razer,348,Intel i9,64,256,15.4,1165,Windows 10,2.31,2022
2551,Asus,6998,AMD Ryzen 7,32,1024,14.7,918,Windows 11,0.89,2020
2552,Razer,4874,AMD Ryzen 5,8,1024,17.5,342,Windows 11,1.95,2020
2558,HP,697,Intel i5,32,256,16.3,1518,Linux,0.95,2018
2561,Lenovo,4830,Intel i7,8,512,15.9,1013,Linux,1.29,2018
2562,Microsoft,7995,AMD Ryzen 7,64,512,14.0,1565,Windows 11,1.84,2019
2564,HP,1532,AMD Ryzen 5,32,2048,15.3,1073,Linux,2.05,2023
2568,Microsoft,3454,Intel i5,16,512,12.4,1493,Linux,1.49,2022
2569,Dell,2756,Intel i7,8,256,16.4,1389,Windows 11,1.46,2019
2570,Microsoft,8922,Intel i5,16,1024,16.2,1323,Windows 10,1.69,2021
2573,Microsoft,6585,AMD Ryzen 5,64,512,16.3,752,Linux,1.33,2020
2574,Asus,4713,AMD Ryzen 7,8,256,14.8,1671,Linux,2.48,2021
2577,HP,4674,AMD Ryzen 7,32,1024,16.1,812,Windows 10,1.24,2023
2579,Microsoft,8536,Intel i9,64,2048,18.1,693,Linux,1.93,2018
2582,Microsoft,9924,AMD Ryzen 7,32,256,17.5,1226,Windows 11,1.35,2024
2589,Razer,8128,AMD Ryzen 7,32,2048,16.2,369,Windows 11,2.11,2019
2594,Acer,3688,Intel i5,8,1024,16.8,1045,Linux,2.56,2020
2595,Acer,2391,AMD Ryzen 5,8,2048,14.7,1307,Linux,2.53,2018
2596,Razer,9416,Intel i5,16,2048,13.3,1686,Windows 11,1.53,2023
2597,Acer,4744,Intel i7,64,2048,16.4,818,Linux,1.15,2020
2598,HP,1745,AMD Ryzen 7,32,1024,17.8,1123,Windows 10,1.44,2020
2606,Asus,262,Intel i7,64,2048,15.7,1088,Linux,1.43,2019
2607,Acer,5140,AMD Ryzen 5,32,256,16.1,1079,Windows 10,1.59,2022
2612,Lenovo,6877,AMD Ryzen 7,64,256,17.4,844,Windows 10,1.94,2023
2613,Lenovo,5568,Intel i7,16,256,17.7,1317,Windows 10,2.21,2018
2615,Dell,1617,AMD Ryzen 5,32,256,17.5,678,Windows 11,1.46,2018
2617,HP,6968,Intel i5,32,1024,13.1,1616,Windows 11,1.29,2021
2618,Razer,9300,Intel i5,8,256,14.1,1254,Windows 11,1.88,2019
2619,HP,4317,Intel i9,32,1024,14.2,1352,Windows 10,1.59,2024
2620,Lenovo,8672,AMD Ryzen 5,16,256,15.0,1749,Windows 10,1.48,2024
2623,Lenovo,1080,Intel i9,8,2048,14.7,1464,Windows 11,1.53,2024
2625,Dell,5991,AMD Ryzen 7,16,2048,15.1,1658,Windows 10,2.79,2021
2626,Microsoft,6752,Intel i5,16,2048,18.1,1607,Windows 10,2.09,2019
2627,Asus,8678,Intel i9,16,1024,14.0,1412,Windows 10,1.87,2020
2628,Microsoft,604,Intel i9,8,256,17.4,1569,Windows 11,0.75,2021
2631,Razer,9916,Intel i5,64,1024,14.2,906,Linux,2.04,2021
2636,Asus,4018,Intel i9,64,256,15.6,582,Windows 11,2.03,2020
2638,Dell,1487,Intel i7,64,2048,14.1,162,Linux,2.06,2023
2639,Lenovo,4496,Intel i5,16,512,14.2,1462,Windows 10,0.9,2023
2642,Asus,1519,Intel i9,64,1024,16.8,1148,Windows 11,0.87,2019
2643,Razer,871,Intel i5,32,1024,20.3,1520,Linux,2.18,2018
2644,Microsoft,7164,AMD Ryzen 5,16,512,15.8,836,Linux,1.89,2024
2645,Dell,7454,Intel i7,8,1024,14.4,825,Windows 10,2.3,2024
2646,Acer,2441,AMD Ryzen 5,8,256,17.0,965,Linux,1.34,2018
2647,Microsoft,504,AMD Ryzen 5,8,2048,15.2,1990,Windows 11,1.53,2019
2649,Razer,9129,AMD Ryzen 5,32,256,16.5,1183,Windows 11,1.92,2018
2651,Asus,1597,Intel i9,16,512,15.1,881,Windows 11,0.98,2022
2652,Microsoft,6455,AMD Ryzen 5,8,512,15.5,1714,Linux,2.46,2021
2654,Acer,7607,Intel i9,8,256,14.7,1369,Linux,1.34,2019
2657,HP,9120,AMD Ryzen 5,16,512,14.6,1050,Windows 10,1.9,2019
2659,Razer,7325,Intel i9,64,256,13.9,893,Windows 10,3.05,2021
2661,Microsoft,6480,AMD Ryzen 5,8,1024,15.1,1332,Windows 10,1.74,2018
2662,Razer,6277,Intel i7,8,1024,16.4,1222,Windows 10,1.59,2018
2663,Microsoft,6817,Intel i5,16,2048,16.4,921,Windows 10,1.92,2021
2664,Microsoft,6317,Intel i9,64,256,17.5,1531,Linux,1.98,2021
2670,Asus,425,Intel i9,16,512,14.2,1385,Windows 11,1.84,2019
2676,HP,7943,Intel i7,64,512,15.2,1502,Windows 10,2.34,2020
2680,Dell,4726,AMD Ryzen 5,32,512,15.4,544,Windows 11,1.89,2019
2682,Asus,3004,AMD Ryzen 7,64,2048,13.2,1307,Linux,2.39,2018
2685,Razer,4718,Intel i7,64,1024,14.6,1225,Linux,1.65,2020
2688,Acer,3378,Intel i7,64,2048,17.7,1001,Windows 11,1.6,2018
2696,Microsoft,7096,Intel i5,8,1024,15.3,1207,Windows 10,1.78,2023
2699,Microsoft,3421,AMD Ryzen 7,64,1024,15.8,787,Linux,2.54,2024
2707,Razer,5219,Intel i9,32,512,12.4,1085,Linux,1.16,2023
2708,HP,7043,Intel i9,8,1024,16.7,1699,Windows 11,2.47,2018
2711,Acer,8151,Intel i9,64,1024,16.9,1621,Linux,1.94,2020
2713,Lenovo,3422,Intel i7,64,2048,15.2,1992,Windows 10,1.42,2018
