Brand,Model,Processor,RAM_GB,Storage_GB,Screen_Size_Inches,Price_USD,Operating_System,Weight_KG,Release_Year
Acer,Model_4297,AMD Ryzen 7,32.0,2048,14.8,992.4449118560849,Windows 11,1.25,2018
Acer,Model_8059,AMD Ryzen 7,16.0,256,14.7 inches,1393.879450909652,macOS,1.2,2021
Lenovo,Model_8979,AMD Ryzen 5,,2048,13.6,1487.1718512334146,Windows 10,2.34,2020
HP,Model_5702,Apple M1,16.0,1024,13.5,1076.0355650228307,Windows 10,1.57,2018
HP,Model_3803,Intel i7,,256,19.2,1503.5913486097072,Linux,1.5,2020
Microsoft,Model_50,Apple M1,32.0,1024,16.3,1054.8435205126511,Linux,0.49,2021
Razer,Model_1348,,32.0,2048,17.0,$1679.70,Windows 11,2.47,2020
Lenovo,Model_5976,Intel i7,32.0,256,17.3 inches,1059.8196121810952,Linux,2.01,2021
Apple,Model_347,Intel i9,64.0,1024,15.1,1466.1924206366298,Windows 10,1.28,2019
Asus,Model_9618,Intel i9,16.0,1024,16.0 inches,714.6778158365069,macOS,2.08,2024
Asus,Model_4071,AMD Ryzen 7,8.0,256,15.3,1510.18663964269,Windows 10,1.67,2020
Apple,Model_6361,AMD Ryzen 5,16.0,256,16.0,583.5588779670253,Windows 10,1.49,2023
Microsoft,Model_2108,Intel i9,16.0,2048,15.9,1805.9148394721356,Windows 10,1.69,2018
Asus,Model_5922,Apple M1,16.0,1024,16.8,1449.0148750979695,Windows 10,1.51,2019
Microsoft,Model_696,AMD Ryzen 7,16.0,512,19.4,1404.1931039310757,Windows 10,1.81,2020
Apple,Model_7319,Intel i5,16.0,2048,15.2,860.6040286698228,Windows 11,1.19,2021
Asus,Model_9898,Intel i5,8.0,512,14.6,1093.2419714647376,Linux,1.81,2020
Microsoft,Model_3762,Apple M1,32.0,2048,16.0,508.6187846311386,macOS,1.15,2018
Dell,Model_2344,Apple M1,32.0,256,15.6,7336.154542385668,Windows 11,1.8,2023
HP,Model_8159,Intel i9,16.0,256,15.4,711.7723278347667,Windows 11,1.19,2020
Apple,Model_6824,Intel i7,16.0,512,16.8,1329.3791263113408,Windows 10,2.42,2024
Acer,Model_6921,Intel i5,16.0,1024,17.0,1046.369944364264,Linux,,2018
,Model_1941,Intel i5,,512,16.9,1145.5739120264404,Windows 10,1.94,2023
HP,Model_5457,Intel i7,32.0,256,16.3,1345.0621143100025,Windows 11,1.12,2018
Razer,Model_4555,AMD Ryzen 7,8.0,2048,17.4,1628.2959368899635,Windows 11,1.42,2018
Razer,Model_5863,Intel i9,8.0,512,13.6,443.56269693910656,macOS,3.03,2020
HP,Model_1248,Intel i7,32.0,512,15.1,1200.5048205403298,macOS,1.61,2021
HP,Model_9959,AMD Ryzen 5,32.0,2048,15.0,1172.0640224719232,macOS,2.37,2023
Lenovo,Model_2055,Apple M1,64.0,2048,14.3,1525.5224835517704,Windows 11,3.01,2018
Dell,Model_358,AMD Ryzen 5,64.0,1024,14.4,377.20154425986175,Windows 10,1.44,2024
Microsoft,Model_7600,Apple M1,8.0,2048,14.6,621.8852084628905,Linux,2.08,2023
Apple,Model_5341,Intel i7,8.0,1024,16.2,765.1861641831138,Windows 10,1.26,2023
Apple,Model_3847,Intel i5,8.0,512,16.6,1339.725518981476,Windows 11,2.05,2018
Lenovo,Model_4886,Apple M1,16.0,1024,18.6,723.3715737029968,Windows 10,2.34,2023
Acer,Model_3240,Apple M1,,256,17.5,1196.3253111661127,Windows 10,1.19,2022
Apple,Model_3015,Intel i7,32.0,512,16.2,743.5104758170131,Linux,1.91,2019
Lenovo,Model_496,Apple M1,16.0,1024,17.2,2095.5331579539243,Windows 11,1.45,2024
Asus,Model_4732,,16.0,256,13.1,1131.4340072805303,macOS,1.6,2018
Lenovo,Model_4696,AMD Ryzen 7,8.0,256,14.7,,Linux,2.38,2019
Acer,Model_4392,AMD Ryzen 5,16.0,0TB,15.9 inches,$851.02,Windows 11,1.75,2019
Razer,Model_4782,Intel i7,32.0,512,13.6,1205.3843859905903,Linux,0.83,2024
HP,Model_6436,Apple M1,64.0,2048,15.3,1723.3700534027425,macOS,2.24,2024
Dell,Model_5209,AMD Ryzen 5,64.0,256,15.0,2083.248216293312,Linux,2.37,2024
Microsoft,Model_8810,AMD Ryzen 7,8.0,1024,15.9,1045.565983718157,macOS,1.99,2018
Lenovo,Model_8737,Intel i7,,2048,18.5,1053.5859812790277,macOS,1.39,2022
Apple,Model_5461,Intel i9,32.0,1024,15.9,810.9491666752069,Linux,2.29,2021
Microsoft,Model_6336,AMD Ryzen 7,32.0,512,17.4,955.4887606296786,Linux,2.57,2022
Apple,Model_3747,AMD Ryzen 5,32.0,2048,13.1,1245.5896422367648,Linux,1.53,2022
Apple,Model_6584,Intel i9,32.0,2048,16.1,1580.3240365610454,Windows 11,1.84,2019
Apple,Model_9172,Apple M1,,512,17.5,1065.7824615946984,Windows 10,1.61,2021
Acer,Model_2745,Intel i7,,512,16.6,1027.675822570814,Windows 11,1.62,2024
Acer,Model_1618,Apple M1,32.0,2048,15.3,985.6165721456833,macOS,1.83,2021
Asus,Model_646,Intel i5,8.0,2048,15.2,1788.0706891938062,Windows 11,1.73,2018
Dell,Model_5970,Apple M1,sixteen GB,512,15.9,835.9244753063863,Windows 11,2.22,2022
Dell,Model_1110,Apple M1,16.0,1024,15.0,1788.7915999048648,Linux,1.27,2024
Microsoft,Model_2828,Intel i5,16.0,2048,15.5,1141.8706860764923,macOS,1.8,2022
Acer,Model_2930,Intel i9,16.0,2048,14.0,1450.9646505656797,Windows 11,1.7,2019
Apple,Model_3062,Intel i5,16.0,256,15.9,1190.9401479170278,macOS,1.86,2020
Microsoft,Model_8300,AMD Ryzen 7,,1024,16.0,2164.821051153508,Windows 11,1.35,2024
Acer,Model_3093,Intel i5,64.0,2048,14.3,1224.376039998488,Linux,1.74,2022
Apple,Model_5738,Apple M1,8.0,1024,15.2,1440.7886003951419,macOS,2.34,2022
HP,Model_6168,Intel i9,16.0,512,15.9,1799.2178270294132,Linux,1.31,2020
Microsoft,Model_80,AMD Ryzen 7,64.0,0TB,18.2,1027.3029370785985,Windows 10,2.45,2020
Asus,Model_6683,Intel i7,32.0,256,16.0,834.530265055607,Mac OS,0.55,2022
Microsoft,Model_3353,Apple M1,16.0,1024,16.8,1031.7072502829515,Linux,1.72,2024
Apple,Model_8598,Intel i9,32.0,512,14.9,1579.7770702252851,Mac OS,1.57,2019
Asus,Model_5109,AMD Ryzen 5,64.0,2048,13.3,1813.3265606585649,macOS,1.79,2023
Razer,Model_7311,Intel i7,32.0,1024,12.9,1562.0306926148432,Windows 11,2.53,2018
Razer,Model_3377,AMD Ryzen 7,8.0,1024,14.4,1128.916736347254,macOS,1.9,2020
Microsoft,Model_4650,Apple M1,16.0,0TB,16.0,$1122.79,Windows 10,1.52,2024
Apple,Model_408,AMD Ryzen 7,64.0,1024,16.5,1158.7589345490942,macOS,2.32,2020
Apple,Model_6119,Intel i9,,1024,16.0,1041.4917205760619,Windows 11,1.86,2024
Acer,Model_7674,Intel i7,32.0,512,16.8,1838.6812364050606,Windows 11,2.02,2020
Apple,Model_2593,Apple M1,8.0,256,16.9,915.3420574057056,macOS,1.68,2022
Apple,Model_497,AMD Ryzen 7,,256,18.4,980.938159085101,Windows 11,2.85,2023
Razer,Model_1186,Intel i9,32.0,512,14.9,1332.4541746708687,macOS,1.79,2023
Asus,Model_649,AMD Ryzen 5,8.0,1024,14.8,1129.5728752770135,Linux,0.75,2018
Dell,Model_3179,AMD Ryzen 7,8.0,2TB,14.9 inches,1032.8573119347463,Windows 11,1.67,2020
Acer,Model_6599,Intel i9,32.0,256,16.0,1833.4839086349198,macOS,1.74,2020
Apple,Model_3034,Apple M1,32.0,2048,16.9,1346.8892499355766,macOS,2.09,2023
Acer,Model_49,Intel i7,8.0,1024,13.8,985.7840916257986,Windows 10,2.51,2019
Asus,Model_3299,Intel i5,8.0,2048,15.9,1370.7308489142524,Windows 11,2.34,2018
Asus,Model_3882,Intel i9,8.0,1024,14.1,908.7101342971603,Windows 10,1.61,2023
Razer,Model_4211,Intel i7,64.0,512,17.1,1127.636819184371,Windows 11,2.09,2021
Lenovo,Model_439,Intel i5,8.0,2048,16.0,685.1628676802962,Linux,1.36,2023
HP,Model_9081,Apple M1,,2048,13.9,1606.5246242192356,Windows 11,1.5,2018
Asus,Model_9645,Apple M1,64.0,256,16.1,$1181.35,macOS,1.31,2019
Acer,Model_1097,AMD Ryzen 7,64.0,512,12.8,1202.925111656946,macOS,1.39,2020
,Model_8588,Intel i5,32.0,512,15.4,233.25617044396427,Windows 11,2.61,2024
Acer,Model_6122,AMD Ryzen 5,8.0,2048,15.4 inches,1479.2680294726886,macOS,2.44,2018
Razer,Model_3547,AMD Ryzen 5,64.0,2048,14.4,853.3416396670066,Windows 11,1.82,2018
Dell,Model_1386,Apple M1,64.0,1024,18.0,1274.2424651430395,Linux,2.12,2020
Acer,Model_7916,Intel i5,64.0,1TB,13.7,6.030180957429366,Linux,1.54,2022
Asus,Model_1007,Intel i7,64.0,1024,16.7,1161.8639831093462,Windows 10,1.27,2019
Acer,Model_4413,Apple M1,16.0,2048,11.8,,macOS,1.63,2023
Microsoft,Model_786,Apple M1,16.0,512,15.4,1599.0830279806146,Windows 11,2.27,2020
Microsoft,Model_2834,Apple M1,32.0,1024,16.6,978.4897647562303,macOS,1.05,2020
HP,Model_659,AMD Ryzen 7,32.0,512,15.8,1045.0452501000982,Windows 10,1.03,2019
Razer,Model_508,Intel i5,32.0,1024,13.7,952.0851011815698,Windows 11,1.46,2021
Lenovo,Model_6248,Apple M1,32.0,1024,16.4,$1388.97,Linux,0.68,2018
Lenovo,Model_1784,AMD Ryzen 5,64.0,256,15.5,1202.523119806812,Windows 11,1.49,2022
Razer,Model_5,Apple M1,64.0,1024,16.3,$1638.17,Linux,1.81,2020
Asus,Model_983,Intel i5,8.0,1024,17.7,1114.5439012695053,macOS,1.14,2019
Acer,Model_3880,AMD Ryzen 7,32.0,256,17.0,1913.8562562430884,Linux,2.77,2022
HP,Model_9521,Intel i7,32.0,2048,15.7,1206.51247575078,macOS,2.36,2019
Dell,Model_7415,Intel i9,sixteen GB,1024,16.5,1067.0691713358538,Windows 10,1.52,2018
Razer,Model_516,Intel i7,8.0,256,15.4,1612.0559424330327,macOS,2.1,2023
Acer,Model_6744,Intel i9,8.0,2048,16.4 inches,1286.368118274517,Linux,2.08,2020
Lenovo,Model_7228,,8.0,256,14.4,1363.1085942268483,Windows 10,2.1,2019
Asus,Model_7834,AMD Ryzen 5,8.0,2048,13.8,1020.6116111607024,macOS,2.59,2018
HP,Model_9118,AMD Ryzen 5,64.0,512,14.5,851.6372644619788,Linux,2.43,2023
Microsoft,Model_5395,AMD Ryzen 5,32.0,256,18.0 inches,1224.4828015869089,Windows 11,1.78,2024
HP,Model_9099,Intel i7,16.0,512,14.3,931.9609202518035,macOS,1.36,2021
Acer,Model_4397,AMD Ryzen 7,16.0,512,15.0,1035.0967715746078,macOS,0.6,2022
Razer,Model_4306,Intel i7,32.0,256,17.5,1474.708367156235,windows 10,2.16,2021
Asus,Model_6606,AMD Ryzen 7,16.0,256,15.6,1146.5460563360564,Mac OS,1.92,2019
Apple,Model_1562,Intel i5,8.0,512,16.2,1421.1559594288792,Linux,1.46,2024
Asus,Model_6116,Intel i5,64.0,256,14.3,1079.0534355264608,macOS,2.77,2024
Acer,Model_3317,AMD Ryzen 5,16.0,256,17.7,689.2590474250293,Linux,1.91,2023
Dell,Model_8499,AMD Ryzen 7,32.0,256,17.5,1505.40037943886,Linux,1.86,2024
HP,Model_8695,AMD Ryzen 5,16.0,256,15.4,1663.846990012068,Windows 10,2.26,2022
Apple,Model_7958,Apple M1,32.0,2048,15.1,1406.7963158459027,Windows 10,2.49,2024
Razer,Model_5574,AMD Ryzen 7,32.0,2048,14.8,1135.8907148719657,Windows 11,1.45,2018
Acer,Model_4559,AMD Ryzen 5,32.0,2048,15.6,1793.1124340725678,Windows 11,1.77,2018
Asus,Model_8467,Apple M1,8.0,2048,14.9,1275.6742764305138,macOS,1.18,2021
Lenovo,Model_5829,Intel i7,64.0,256,17.7,1476.908823969926,macOS,2.71,2021
Apple,Model_5396,Intel i9,16.0,1024,15.4,1104.4604356211642,Linux,1.72,2023
Asus,Model_9821,Intel i5,16.0,1024,12.0 inches,785.9019587780385,Windows 11,2.11,2022
Microsoft,Model_9767,Intel i9,8.0,1024,14.5,1261.9030773377626,Windows 10,2.29,2023
Acer,Model_319,Intel i9,64.0,256,15.0,1405.683261059496,Windows 11,1.89,2021
Asus,Model_6515,Intel i7,32.0,256,17.2,1068.9990219991305,macOS,1.65,2019
HP,Model_7633,AMD Ryzen 5,32.0,256,16.6 inches,2000.058822873626,Windows 10,1.36,2018
Microsoft,Model_4344,Intel i5,64.0,512,18.7,1741.9075163276002,Windows 11,1.2,2022
Acer,Model_6780,Apple M1,16.0,256,14.0,$1854.04,Windows 11,1.48,2024
HP,Model_3735,Apple M1,64.0,1024,14.0,$1825.71,Windows 11,2.41,2021
Razer,Model_8447,Intel i5,64.0,256,13.2,575.560133501172,macOS,1.52,2024
Microsoft,Model_9103,AMD Ryzen 7,8.0,256,15.1,1460.7823689219717,Windows 11,1.92,2018
HP,Model_5198,Intel i5,32.0,256,17.0 inches,1164.4049602067241,Windows 10,1.89,2024
Asus,Model_1470,Intel i7,8.0,512,17.4,1045.2731908027858,Windows 10,0.68,2023
Razer,Model_4508,AMD Ryzen 5,N/A,1024,15.8,1480.9652507999504,Linux,1.76,2023
Acer,Model_8438,Intel i5,64.0,512,17.9,1699.525651573048,Windows 10,1.11,2024
Microsoft,Model_5624,Apple M1,32.0,1TB,13.6,1014.1320385685873,Windows 10,1.1,2018
Dell,Model_1627,AMD Ryzen 5,64.0,1024,17.6,1351.0347685500817,Windows 10,2.81,2018
Lenovo,Model_6047,Intel i9,64.0,2048,17.6,1345.832204840279,macOS,1.8,2023
Asus,Model_3556,Apple M1,64.0,256,13.6,1481.6127212432248,Linux,2.6,2024
Microsoft,Model_2328,Apple M1,32.0,2048,15.8,756.8685028250371,Windows 10,2.13,2018
Lenovo,Model_2352,AMD Ryzen 7,32.0,256,17.5,1514.7552055110627,Windows 11,2.02,2023
HP,Model_3363,AMD Ryzen 7,8.0,1024,13.8,1924.9099706031018,Windows 11,1.5,2022
Lenovo,Model_6562,Intel i7,8.0,1024,17.4,983.6711263133672,Windows 10,2.01,2018
Razer,Model_1307,Intel i9,16.0,256,13.5,952.5730368375092,macOS,2.16,2023
Asus,Model_6650,AMD Ryzen 7,32.0,2048,14.7,$1531.90,Windows 10,2.05,2024
Apple,Model_7686,,16.0,512,17.2 inches,2320.88346420727,Windows 10,0.73,2021
Asus,Model_8319,AMD Ryzen 5,8.0,2048,14.3,742.072361770865,Windows 11,1.88,2023
Asus,Model_2111,AMD Ryzen 7,,512,14.0,1306.3018813530018,Windows 11,1.35,2020
Lenovo,Model_7480,AMD Ryzen 5,32.0,256,14.2,1529.9187260188341,Windows 11,1.07,2018
Lenovo,Model_4685,Intel i7,8.0,1024,16.0,1262.1706530073968,Linux,2.06,2023
Acer,Model_3162,Apple M1,8.0,256,14.9,1753.4658068841222,Windows 11,2.3,2024
Acer,Model_8881,AMD Ryzen 5,8.0,1024,19.3,796.9806638202537,Windows 11,,2021
Apple,Model_6665,Intel i9,16.0,1024,17.2,1221.3602594902436,Linux,1.41,2020
HP,Model_5330,Apple M1,8.0,512,15.8,842.2570615792631,Windows 10,2.21,2019
Dell,Model_5717,Intel i9,32.0,1024,15.0,883.8463123190741,Linux,2.69,2018
Lenovo,Model_8087,Intel i5,16.0,2048,15.7,739.3959945052336,Windows 10,2.68,2020
Acer,Model_968,Intel i5,8.0,256,13.8,931.5651206387791,Windows 11,1.81,2022
Microsoft,Model_7170,AMD Ryzen 7,64.0,256,13.0,1342.6897803073039,Windows 10,1.76,2022
Lenovo,Model_7899,AMD Ryzen 7,64.0,512,15.4,$1132.09,Windows 10,2.0,2024
Asus,Model_5078,,32.0,512,14.9,853.4268070064345,Windows 10,1.97,2020
Acer,Model_867,AMD Ryzen 5,16.0,512,17.7,1762.845583469592,Linux,1.31,2022
Dell,Model_317,AMD Ryzen 5,64.0,256,17.7,1112.3590063215763,macOS,2.0,2019
Lenovo,Model_9324,AMD Ryzen 5,,256,13.2,1175.7941871737287,Windows 11,2.47,2020
Razer,Model_2283,Apple M1,,256,12.8,1161.5019329585323,macOS,1.42,2024
Apple,Model_5463,Intel i9,16.0,2048,13.9,1604.210822802622,windows 10,1.37,2021
HP,Model_6391,,32.0,512,17.3,1275.1843506065247,Windows 11,1.32,2018
Acer,Model_6276,Intel i5,8.0,256,16.8 inches,1132.8603298911823,Windows 11,1.49,2021
Lenovo,Model_6700,Intel i9,32.0,256,14.7,1376.6935587462522,macOS,1.51,2018
Microsoft,Model_3927,,64.0,256,16.0,1112.697176851158,Windows 11,2.15,2022
Lenovo,Model_9632,Apple M1,16.0,256,14.6,1123.6320886005224,Windows 11,1.62,2023
Apple,Model_7912,Intel i7,16.0,1024,15.1,1379.279491217613,macOS,1.88,2022
Lenovo,Model_1920,Intel i9,8.0,2048,15.7,,Windows 10,1.39,2018
Asus,Model_3284,Intel i7,8.0,2048,17.9,536.1530596779354,macOS,1.4,2019
Lenovo,Model_4921,AMD Ryzen 7,32.0,512,17.1 inches,895.5283656954086,Linux,2.01,2022
Razer,Model_9651,AMD Ryzen 7,16.0,2048,14.6,1646.1985915841553,macOS,1.66,2024
HP,Model_7926,AMD Ryzen 5,16.0,256,15.5,1520.8203194983748,macOS,1.95,2019
Asus,Model_2920,AMD Ryzen 5,64.0,256,17.2,940.750471523939,Windows 11,,2024
Dell,Model_7340,AMD Ryzen 7,64.0,1024,17.2,1092.4133914621432,macOS,1.57,2024
Microsoft,Model_1491,,64.0,2048,15.7,1393.517064252803,Windows 10,1.49,2019
Asus,Model_2691,Intel i7,8.0,1024,17.9,1477.8617857365784,Linux,1.82,2021
Razer,Model_5445,AMD Ryzen 5,8.0,1024,14.4,1338.9370033849048,Linux,1.38,2023
Acer,Model_2580,AMD Ryzen 7,64.0,2TB,16.1,747.372216283312,Mac OS,0.94,2022
Lenovo,Model_7436,AMD Ryzen 5,32.0,1024,14.0,1218.867880150736,Windows 11,1.75,2018
Apple,Model_4669,AMD Ryzen 7,16.0,1TB,16.5,$854.32,Windows 11,0.65,2023
Razer,Model_6010,,8.0,2048,18.7,805.7465142187617,Linux,1.77,2020
Acer,Model_5846,AMD Ryzen 7,,2048,18.1,1056.1825490388912,Windows 11,1.44,2023
Asus,Model_9771,AMD Ryzen 5,8.0,1024,17.3,1487.6458366527913,Linux,2.0,2021
Asus,Model_5282,Intel i5,32.0,2048,14.0,1293.6219537073603,Windows 11,1.05,2022
Acer,Model_4527,Intel i7,64.0,512,13.6,932.5404503926015,macOS,2.45,2020
Apple,Model_2499,AMD Ryzen 5,8.0,256,17.5 inches,$1071.90,Linux,2.47,2023
HP,Model_2998,Intel i5,32.0,1024,16.0,1932.041616207841,Windows 10,2.44,2019
Lenovo,Model_220,AMD Ryzen 7,,1024,15.2,1267.71768990757,Windows 11,1.18,2024
Apple,Model_3691,AMD Ryzen 5,32.0,1024,13.8,1280.9967962578844,macOS,1.5,2023
Asus,Model_7612,AMD Ryzen 5,32.0,256,14.9,364.743678692775,Windows 11,1.17,2022
Apple,Model_667,Intel i9,,256,13.4,756.0802352572234,Windows 10,1.43,2023
Dell,Model_834,AMD Ryzen 7,8.0,2048,17.6,1056.1003322926235,Windows 10,2.15,2022
Acer,Model_7664,Intel i5,,1024,15.8,1153.7386566977596,Windows 10,1.05,2023
Dell,Model_8547,Intel i9,64.0,512,17.1,1133.271442074072,Linux,1.93,2024
Razer,Model_8452,Intel i7,32.0,256,15.8,639.3280975980193,Linux,1.98,2019
HP,Model_6440,Apple M1,32.0,1024,17.7,1076.4574838616318,macOS,1.52,2022
Lenovo,Model_4328,AMD Ryzen 5,8.0,1024,14.3,1063.9959652940493,Linux,1.41,2018
Acer,Model_9569,Apple M1,32.0,256,15.1,$1553.91,Windows 10,0.75,2024
Acer,Model_4869,Intel i5,32.0,256,16.6,1467.6679557769708,Windows 10,1.22,2024
Asus,Model_5433,AMD Ryzen 7,,1024,15.6,,macOS,1.17,2020
Asus,Model_4045,AMD Ryzen 5,8.0,256,16.3,1067.5590580420455,Windows 10,2.31,2023
Acer,Model_7044,Apple M1,8.0,1024,13.4 inches,,macOS,0.92,2023
Razer,Model_6942,AMD Ryzen 7,8.0,1024,16.2,918.0202487775638,Linux,2.17,2022
Microsoft,Model_1281,AMD Ryzen 7,32.0,1024,15.8,1215.0280601315633,Windows 10,2.05,2020
Razer,Model_2652,AMD Ryzen 5,64.0,256,16.5,1124.7966031729297,Windows 11,1.05,2024
Razer,Model_2610,AMD Ryzen 7,64.0,256,14.9,1030.8726601185313,Linux,1.75,2020
Dell,Model_9725,AMD Ryzen 5,32.0,2TB,19.8,958.0868307664722,Linux,1.62,2021
Dell,Model_4765,Apple M1,64.0,2048,15.7,1787.6774927884949,macOS,2.29,2019
Microsoft,Model_2589,AMD Ryzen 5,32.0,256,15.9,1607.2226696236391,macOS,0.86,2022
Asus,Model_4146,AMD Ryzen 7,64.0,256,17.1,1351.2813567855237,Linux,2.16,2021
Asus,Model_880,AMD Ryzen 7,64.0,2048,15.6,941.5412692455393,macOS,2.02,2021
Apple,Model_8033,Intel i5,16.0,1024,14.1,$1250.29,windows 10,1.85,2021
Lenovo,Model_6197,Intel i5,8.0,1024,17.3,1670.535869138676,macOS,2.27,2023
Razer,Model_9076,Intel i7,16.0,256,17.5,1739.8140964231475,macOS,2.53,2021
Lenovo,Model_3324,AMD Ryzen 5,64.0,256,15.1,1241.5161280689283,Windows 10,2.96,2022
Razer,Model_7743,Intel i9,32.0,2048,15.6,1023.8235906988235,Windows 10,1.87,2022
Dell,Model_2882,Intel i9,16.0,1024,16.8,1118.1121975127103,Windows 10,1.01,2024
Acer,Model_397,Intel i9,32.0,512,14.5,1324.796971476358,macOS,2.1,2020
Dell,Model_6522,Intel i9,,256,14.5,152.18063982181064,macOS,2.62,2020
Razer,Model_4486,AMD Ryzen 5,32.0,1024,14.5,1521.2260953144737,Windows 11,2.09,2024
Acer,Model_1000,Intel i9,16.0,256,15.7,1005.2596865253752,Linux,1.61,2020
Asus,Model_9928,Intel i7,16.0,1024,16.4,1279.5837348915927,Windows 10,2.01,2018
Asus,Model_2455,AMD Ryzen 7,16.0,2048,14.4,1423.7855187745356,Windows 11,1.15,2020
Apple,Model_5952,Intel i5,64.0,2048,16.6,1644.1494396302094,macOS,1.75,2024
HP,Model_1718,AMD Ryzen 7,,1024,14.0,523.8004204647107,Windows 11,,2021
Microsoft,Model_6113,AMD Ryzen 5,32.0,2048,17.1,,Windows 11,2.22,2018
Acer,Model_9530,AMD Ryzen 7,16.0,1024,16.1,1230.1957250484004,Windows 10,1.68,2021
Microsoft,Model_9341,AMD Ryzen 5,16.0,512,15.6,226.32718391207925,macOS,1.42,2023
Lenovo,Model_526,Intel i5,16.0,1024,15.6,1017.2338266523357,Windows 11,1.23,2018
Microsoft,Model_5903,Intel i9,32.0,512,15.7,1699.009129883801,Linux,1.88,2022
HP,Model_7406,Intel i9,32.0,512,15.2,1708.829257137998,macOS,1.94,2023
Asus,Model_226,,64.0,2048,13.8,859.8710540727527,Windows 11,2.18,2019
Acer,Model_4670,Intel i9,32.0,256,15.3,1542.3779863039626,windows 10,1.67,2023
Dell,Model_8484,AMD Ryzen 5,32.0,512,15.9,802.467731408685,Windows 11,2.12,2019
Acer,Model_9513,AMD Ryzen 5,64.0,512,16.3,737.5713477400004,Linux,1.59,2018
Lenovo,Model_3823,AMD Ryzen 5,,512,12.2,1610.9763934770604,macOS,1.95,2018
Razer,Model_258,Intel i7,64.0,512,14.9,1944.9199209388612,Linux,2.22,2023
Razer,Model_2377,Intel i7,64.0,2048,11.3,1667.1878089093889,macOS,1.86,2020
Acer,Model_9737,AMD Ryzen 5,,256,16.1,1397.6242600587443,Linux,2.52,2023
Microsoft,Model_9636,Apple M1,32.0,512,16.4,,macOS,1.84,2022
Apple,Model_8740,Intel i5,8.0,512,15.4 inches,1118.492036896093,Linux,1.68,2021
Razer,Model_4295,Intel i7,64.0,0TB,16.9,$1556.87,macOS,1.54,2019
Apple,Model_5825,Apple M1,8.0,2048,13.6,1222.1779980823262,Linux,2.21,2020
Acer,Model_2836,Intel i5,8.0,512,14.1,1474.546925689558,macOS,1.19,2024
Asus,Model_5587,Apple M1,8.0,2048,16.5,1324.6345078191946,Windows 11,2.13,2022
Lenovo,Model_2465,Intel i7,16.0,1TB,16.0,1231.569840453249,Linux,2.46,2021
Microsoft,Model_5770,Intel i9,64.0,512,16.6,2062.029546706255,macOS,1.65,2019
HP,Model_3309,Apple M1,8.0,256,14.4,$1655.24,Linux,1.56,2019
Acer,Model_6305,Intel i9,8.0,2048,17.2 inches,1035.3440509232341,macOS,1.47,2024
Razer,Model_3694,AMD Ryzen 5,16.0,2048,12.7,857.121998034503,Linux,1.39,2021
HP,Model_2214,Intel i9,32.0,512,17.4,1453.780862862798,Windows 10,1.58,2022
Lenovo,Model_5057,AMD Ryzen 5,64.0,256,17.4,619.6604399140978,macOS,2.04,2023
Apple,Model_7420,Intel i5,8.0,512,16.2,1190.0093909899858,Windows 10,1.74,2019
Acer,Model_8242,Intel i9,,512,15.5,1101.3009544901295,Windows 10,1.64,2021
Razer,Model_348,Intel i9,64.0,256,15.4,1164.9422359458324,windows 10,2.31,2022
Asus,Model_995,AMD Ryzen 7,8.0,1024,15.4,729.4973008218215,macOS,2.39,2019
Acer,Model_8394,Intel i9,,1024,19.4,1598.3157480056836,Linux,1.76,2021
HP,Model_3168,Apple M1,32.0,2048,20.4,1152.0601266863223,Windows 10,1.93,2018
Apple,Model_4518,Apple M1,32.0,512,15.3,1258.654903369665,Windows 10,2.68,2018
Apple,Model_8756,Intel i7,,256,14.0,1523.8184976522014,Linux,1.44,2019
Asus,Model_6998,AMD Ryzen 7,32.0,1024,14.7,917.8463931404519,Windows 11,0.89,2020
Razer,Model_4874,AMD Ryzen 5,8.0,1024,17.5,342.41227734268966,Windows 11,1.95,2020
Lenovo,Model_8524,AMD Ryzen 7,8.0,256,16.4,1011.1484921589017,macOS,1.63,2020
Lenovo,Model_4803,,32.0,256,15.9,570.8242631329844,Mac OS,2.44,2019
Acer,Model_175,AMD Ryzen 7,16.0,512,15.9,1119.3475839125642,Windows 10,,2019
,Model_8395,Intel i5,8.0,1024,17.6,,Windows 11,2.02,2022
Apple,Model_8336,AMD Ryzen 7,32.0,512,16.4,594.9808976970011,Windows 11,2.04,2023
HP,Model_697,Intel i5,32.0,256,16.3,1518.3937034059466,Linux,0.95,2018
Acer,Model_4098,,16.0,512,14.6,1424.6575444904392,Windows 10,1.73,2020
Acer,Model_2201,AMD Ryzen 7,16.0,0TB,14.7,953.6487035872588,Windows 11,2.43,2023
Lenovo,Model_4830,Intel i7,8.0,512,15.9,$1013.19,Linux,1.29,2018
Microsoft,Model_7995,AMD Ryzen 7,64.0,512,14.0,$1565.28,Windows 11,1.84,2019
Dell,Model_5279,Apple M1,16.0,256,15.3,1102.76044826472,macOS,1.54,2022
HP,Model_1532,AMD Ryzen 5,32.0,2048,15.3,1072.6595449180581,Linux,2.05,2023
Acer,Model_4836,Intel i7,16.0,2TB,16.0,1225.0048548085504,macOS,1.53,2023
Apple,Model_8927,Intel i9,32.0,1024,15.7,1204.641688560212,Windows 11,1.98,2021
HP,Model_7685,Intel i7,32.0,2048,17.2,1396.0562121556366,Mac OS,1.68,2023
